,Base,Ortho,Neuro,Transplant
Monday,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 1.92307692307692, 1.15384615384615, 0.692307692307692, 0.307692307692308, 0.384615384615385, 0.307692307692308]","[0, 0, 0, 0, 0, 0, 0, 0.0769230769230769, 0.692307692307692, 0.384615384615385, 0.153846153846154, 0.153846153846154, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0.769230769230769, 0.692307692307692, 0.461538461538462, 0.538461538461538, 0.461538461538462, 0.384615384615385, 0.307692307692308]","[0, 0, 0.0769230769230769, 0.0769230769230769, 0.0769230769230769, 0.0769230769230769, 0.0769230769230769, 0.153846153846154, 0.307692307692308, 0.0769230769230769, 0.0769230769230769, 0.0769230769230769, 0.0769230769230769, 0.0769230769230769, 0.0769230769230769]"
Tuesday,"[0.0769230769230769, 0.0769230769230769, 0.0769230769230769, 0.0769230769230769, 0.0769230769230769, 0.0769230769230769, 0.153846153846154, 6.23076923076923, 3.61538461538462, 2.69230769230769, 1.69230769230769, 0.846153846153846, 0.384615384615385, 0.153846153846154, 0.153846153846154]","[0, 0, 0, 0, 0, 0, 0, 1.53846153846154, 0.769230769230769, 0.461538461538462, 0.461538461538462, 0.307692307692308, 0.307692307692308, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0.538461538461538, 0.615384615384615, 0.538461538461538, 0.461538461538462, 0.461538461538462, 0.230769230769231, 0.153846153846154, 0.153846153846154]","[0, 0, 0.0769230769230769, 0.0769230769230769, 0.153846153846154, 0.230769230769231, 0.230769230769231, 0.461538461538462, 0.153846153846154, 0.153846153846154, 0.153846153846154, 0, 0, 0, 0]"
Wednesday,"[0, 0, 0.0833333333333333, 0.0833333333333333, 0.0833333333333333, 0, 0.0833333333333333, 4.66666666666667, 2.58333333333333, 2, 0.833333333333333, 0.583333333333333, 0.166666666666667, 0.166666666666667, 0.166666666666667]","[0, 0, 0, 0, 0, 0, 0.0833333333333333, 0.833333333333333, 0.5, 0.5, 0.25, 0, 0, 0.0833333333333333, 0.0833333333333333]","[0, 0, 0, 0, 0, 0, 0, 1.33333333333333, 1.41666666666667, 1.25, 1, 0.5, 0.333333333333333, 0.25, 0.166666666666667]","[0, 0, 0, 0, 0, 0, 0, 0.0833333333333333, 0.166666666666667, 0.0833333333333333, 0.0833333333333333, 0.0833333333333333, 0.0833333333333333, 0.0833333333333333, 0]"
Thursday,"[0, 0, 0, 0, 0, 0, 0.0769230769230769, 5.53846153846154, 2.92307692307692, 2.69230769230769, 1.69230769230769, 1.07692307692308, 0.538461538461538, 0.230769230769231, 0.153846153846154]","[0, 0, 0, 0, 0, 0, 0, 1.53846153846154, 1.07692307692308, 0.615384615384615, 0.461538461538462, 0.230769230769231, 0.0769230769230769, 0.0769230769230769, 0.0769230769230769]","[0, 0, 0, 0, 0, 0, 0, 0.923076923076923, 0.461538461538462, 0.153846153846154, 0.0769230769230769, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Friday,"[0, 0, 0, 0, 0, 0.0769230769230769, 0.0769230769230769, 5.46153846153846, 3, 1.76923076923077, 0.846153846153846, 0.538461538461538, 0.384615384615385, 0.230769230769231, 0.153846153846154]","[0, 0, 0, 0, 0, 0, 0.0769230769230769, 1.07692307692308, 0.769230769230769, 0.461538461538462, 0.153846153846154, 0.230769230769231, 0.307692307692308, 0.153846153846154, 0.0769230769230769]","[0, 0, 0, 0, 0, 0, 0, 0.769230769230769, 0.384615384615385, 0.384615384615385, 0.153846153846154, 0.153846153846154, 0.0769230769230769, 0.0769230769230769, 0]","[0, 0, 0.0769230769230769, 0.0769230769230769, 0.0769230769230769, 0.0769230769230769, 0.230769230769231, 0.153846153846154, 0.153846153846154, 0.153846153846154, 0.153846153846154, 0.153846153846154, 0.153846153846154, 0.153846153846154, 0.153846153846154]"
