,Base,Ortho,Neuro,Transplant
Monday,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 2, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Tuesday,"[0, 0, 0, 0, 0, 0, 0, 6, 5, 4, 2, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Wednesday,"[0, 0, 0, 0, 0, 0, 0, 5.25, 3.25, 3.25, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0.25, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 1.25, 1, 1, 0.25, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Thursday,"[0, 0, 0, 0, 0, 0, 0, 7, 4, 3, 2, 2, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Friday,"[0, 0, 0, 0, 0, 0, 0, 7, 5, 3, 2, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
