,Base,Ortho,Neuro,Transplant
Monday,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 2, 2, 1, 1.4, 1]","[0, 0, 0, 0, 0, 0, 0, 0.399999999999999, 1.4, 1.4, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 1.4, 1, 1.4, 1, 1, 1]","[0, 0, 0.399999999999999, 0.399999999999999, 0.399999999999999, 0.399999999999999, 0.399999999999999, 0.799999999999997, 1.4, 0.399999999999999, 0.399999999999999, 0.399999999999999, 0.399999999999999, 0.399999999999999, 0.399999999999999]"
Tuesday,"[0.399999999999999, 0.399999999999999, 0.399999999999999, 0.399999999999999, 0.399999999999999, 0.399999999999999, 1, 8, 5.4, 5, 3.4, 2, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 1.4, 1.4, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1.4, 1.4, 1, 1]","[0, 0, 0.399999999999999, 0.399999999999999, 1, 1.4, 1.4, 2, 1, 1, 1, 0, 0, 0, 0]"
Wednesday,"[0, 0, 0.449999999999999, 0.449999999999999, 0.449999999999999, 0, 0.449999999999999, 6.45, 5, 4.45, 3.45, 2, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0.449999999999999, 1.45, 1.45, 1.45, 1, 0, 0, 0.449999999999999, 0.449999999999999]","[0, 0, 0, 0, 0, 0, 0, 2, 2.45, 2, 2.45, 1.45, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0.449999999999999, 1, 0.449999999999999, 0.449999999999999, 0.449999999999999, 0.449999999999999, 0.449999999999999, 0]"
Thursday,"[0, 0, 0, 0, 0, 0, 0.399999999999999, 7.4, 5, 4.4, 3.4, 2.8, 2, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 3.4, 2.4, 2, 1.4, 1, 0.399999999999999, 0.399999999999999, 0.399999999999999]","[0, 0, 0, 0, 0, 0, 0, 1.4, 1.4, 0.799999999999997, 0.399999999999999, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Friday,"[0, 0, 0, 0, 0, 0.399999999999999, 0.399999999999999, 7, 5.4, 4, 2.4, 1.4, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0.399999999999999, 1.4, 2, 1, 1, 1, 1.4, 1, 0.399999999999999]","[0, 0, 0, 0, 0, 0, 0, 1.4, 1, 1, 1, 1, 0.399999999999999, 0.399999999999999, 0]","[0, 0, 0.399999999999999, 0.399999999999999, 0.399999999999999, 0.399999999999999, 1.4, 1, 1, 1, 1, 1, 1, 1, 1]"
